Cidade,Probabilidade_Estacionaria
"Santa Maria, RS, BRAZIL",0.0030412594285476988
"Novo Hamburgo, RS, BRAZIL",0.003039986879645153
"Nilópolis, RJ, BRAZIL",0.0030373712545175126
"Ipatinga, MG, BRAZIL",0.0030336573888997127
"Itatiba, SP, BRAZIL",0.003031673069633566
"Criciúma, SC, BRAZIL",0.0030311664793802174
"Suzano, SP, BRAZIL",0.0030311131954643303
"Teresópolis, RJ, BRAZIL",0.003027639106716354
"Serra, ES, BRAZIL",0.003011503547629729
"Abaetetuba, PA, BRAZIL",0.00300892779767184
"Marituba, PA, BRAZIL",0.0030065828205826373
"Patos, PB, BRAZIL",0.002999247370462467
"Rio Branco, AC, BRAZIL",0.0029805754509593845
"Goiânia, GO, BRAZIL",0.0029782484632526985
"Bragança Paulista, SP, BRAZIL",0.002969110466928337
"Taubaté, SP, BRAZIL",0.0029660220818961886
"Apucarana, PR, BRAZIL",0.0029647048859492596
"Mossoró, RN, BRAZIL",0.0029050327574993654
"Coronel Fabriciano, MG, BRAZIL",0.0028684436387548863
"Caxias do Sul, RS, BRAZIL",0.002807713630539247
